"platform","keyword","comment","label_emotion","","Label","","Total"
"TikTok","#newjeans","heyy suara minji cakep banget, bahkan suara asli mereka lebih bagus ya","1","","happiness","1","200"
"TikTok","#newjeans","iihh sedih banget sama tingkah laku member newjeans sekarang","2","","sadness","2","200"
"TikTok","#newjeans","kangen new jeans, sekarang liat mereka bawaanya ilfeel kenapa ya 😔","2","","fear","3","200"
"TikTok","#newjeans","pernah sesuka itu sama nj, lagunya selalu cepet nyantol di kepala, kangen bgt😭","2","","love","4","200"
"TikTok","#newjeans","Sayang banget group sebagus ini mnjadi najiez🫤","5","","anger","5","200"
"TikTok","#rosé","langsung nyantol jir lagunyaa😭🤍","4","","","",""
"Youtube","#heart2hearts","Gasabar melihat kesuksesan mereka semua","1","","Comments =","","1000"
"Youtube","#heart2hearts","Yuha as tumbnail iss supremacy~ cantik banget yuhaaa sayanggg~","4","","","",""
"Youtube","#heart2hearts","Suka banget liat rambut panjang Carmen😍🩷💕","4","","","",""
"Youtube","#heart2hearts","Gak sabar liat mreka saat di ruang rekaman lagu the chase❤","4","","","",""
"Youtube","#heart2hearts","Pokoknya support full for semua member, selalu nunggu setiap hari content dan gebrakan baru mereka 👍

","4","","","",""
"Youtube","#heart2hearts","Sumpahh weeee .. carmen cantik banget pas di bagian baju item celana item rambut panjangggggg 😭😭😭🥰💕😘","4","","","",""
"Youtube","#heart2hearts","Wih, banyak pake gen baru ya? Bagus bagus, vibesnya fresh 😮❤","1","","","",""
"Youtube","#heart2hearts","Sumpah dance practice nya dan lagunya bikin candu jadi ga bosen dengernya","1","","","",""
"Youtube","#heart2hearts","kreennn bgtt cok vibesnya mrip' girls generation","1","","","",""
"Youtube","#heart2hearts","Satu grup membernya visual semuaaa aduhh gemesss bgttt sihhh kaliannn😖🤏🏻🤍","4","","","",""
"Youtube","#heart2hearts","Ternyata Carmen kalok rambutnya begitu panjang dan diurai cuteeee sekaliiiii","4","","","",""
"Youtube","#heart2hearts","Sampe skrg kaya wow bgt gitu ke carmen. Karena bisa menembus tembok SM. Fighting Heart2Heart ❤❤❤❤","1","","","",""
"Youtube","#heart2hearts","Aslik ini keren banget dance performancenya....","1","","","",""
"Youtube","#heart2hearts","Carmen luar biasa 🎉 Indonesia bangga ada anak muda indo yg bisa masuk ke korea lagi ❤","1","","","",""
"Youtube","#heart2hearts","OMG bagus banget sumpah lagunya enak banget didengar","4","","","",""
"Youtube","#heart2hearts","Carmen long hair beuhhh damage nya","1","","","",""
"Youtube","#heart2hearts","Ninggalin jejak dulu.. Gas gas gass trendingin lg","1","","","",""
"Youtube","#heart2hearts","CARMENNNNNN CANTIKNYAAAAA❤❤❤❤❤❤🥰🥰🥰","4","","","",""
"Youtube","#heart2hearts","aku tidak bisa memilih bias ,kalian semua terbaik ❤","4","","","",""
"Youtube","#heart2hearts","Aslik ini keren banget dance performancenya....","1","","","",""
"Youtube","#heart2hearts","Lagunya enak didengar di telinga saya, seperti suasana pantasti 😊","1","","","",""
"Youtube","#heart2hearts","Buset keren banget sebelum ratusan ribu anjai","1","","","",""
"Youtube","#heart2hearts","vibe nya segerr bgttt, konsepnya sm bgt ❤️😭😭🫰🏻🫰🏻","1","","","",""
"Youtube","#heart2hearts","Gue ke sini krn Carmen..🎉semoga sukses karirnya..congrats","1","","","",""
"Youtube","#heart2hearts","Lagu yang tidak akan pernah bosan 😊❤","1","","","",""
"Youtube","#XODIAC","INI SIH KONSEPNYA BUKAN MV DEBUT, TAPI KAYAK COME BACK! KEREN BANGETTTTTT!!! SEMUA MEMBER NYA KEREN2!!!","1","","","",""
"Youtube","#XODIAC","TEPUK TANGANN SEBESARNYA BUAT XODIAC, SENENG BANGET BUAT KALIAN","1","","","",""
"Youtube","#XODIAC","Waw, suara mereka keren keren, vokal mereka unik. Visual, dance, rapnya jg keren, aku kira tadi ini MV comeback ternyata MV debut, parah sih kerennya","1","","","",""
"Youtube","#XODIAC","GILAAAAA BAGUS BANGET INI MAH BUKAN MV DEBUT, ini mah comeback, sukses terus buat kalian💐","1","","","",""
"Youtube","#XODIAC","MV DEBUT KEREN BANGET UDAH KAYAK COMEBACK AJAAAA!!! BENER BENER KERENNNN!!!!!","1","","","",""
"Youtube","#XODIAC","SELAMAT GUYS UDAH TRENDING #2 DI INDONESIA, SEMANGAT!!!","1","","","",""
"Youtube","#XODIAC","LAGUNYA KEREN, DANCENYA JUGA KEREN, VISUAL DAPET SEMUA, MV NYA JUGA BAGUSS , DAHLAHH XODIAC AUTO INTERNASIONAL, AMINNNN","1","","","",""
"Youtube","#XODIAC","Jujur, untuk ukuran debut, ini keren loh, lagunya enak, kualitas vokal bagus, dan mv nya juga keren.","1","","","",""
"Youtube","#XODIAC","Lagu debut diluar expektasi enak banget, boyband yang sangat menjanjikan 🔥","1","","","",""
"Youtube","#XODIAC","Yukkk up bareng2 yuk guysss. Ini sumpah visual sama lagunya enak banget. Terus agensinya juga tidak terlihat mengkhawatirkaaan. Zayyan real anak soleh indonesiaaa","1","","","",""
"Youtube","#XODIAC","MV DEBUT KAYA GINI???? KERENN BANGETT, YOU GUYS VERY TALENTED","1","","","",""
"Youtube","#XODIAC","HAIII, GILA SIH INI MV VIBES NYA MANTEP BANGET!! KUYLAH INI GRUP HARUS MAJU DAN SUKSES!!! AYOO SEMANGAATTT!!!","1","","","",""
"Youtube","#XODIAC","Lagunya terngiang-ngiang, keren bangettt, selamat atas debutnya Xodiac / love love hijau","1","","","",""
"Youtube","#XODIAC","Congratulations xodiac atas subcriber ke 100K dan view 734K dan like mv 142K tetap streaming guys fighting dan trending youtube Indonesia #5","4","","","",""
"Youtube","#XODIAC","Kereeennnn bgtt buat semua member selamat y atas debutnya smg lancarr sukses🎉","4","","","",""
"Tiktok","#Wonyoung","gue jadi wonyoung jg kaget sih ada orang tb tb mau sentuh","3","","","",""
"Tiktok","#Wonyoung","itu wonyoung kaget,emg klian pd gak kaget klo tb tb di pegang sm org gk di kenal?","3","","","",""
"Tiktok","#Wonyoung","aduh bnr bgt, gw klo diposisi wonyoung jg gt, kaget begitu","3","","","",""
"Tiktok","#Wonyoung","woy kalian ngerti Gk sih?? Itu si Wonyoung Menghindar karena dia kaget Bkn Jijik Please Jgn Hater2 Kpop","5","","","",""
"Tiktok","#Wonyoung","ga ngerti lagi deh sama HATERS wony, di katain gak ramah sama anak kecil lah, pick me lah, makan pizza salah lah, ngelempar bola salah lah, wony bernapas aja salah gitu? pls deh wony itu idol dia gak-","5","","","",""
"Tiktok","#Wonyoung","ya bayangin ajeee kalo lu didatengin orang asing tiba²😭😭","3","","","",""
"Tiktok","#BTSColdplay","suara jeykey emg bagus bgt sii bikin candu💜","4","","","",""
"Tiktok","#BTSColdplay","suaranya jungkook emang bagus dan adem bgtttt, kalau dgr dia nyanyi pasti membuat suasana menjadi tenang bgttt","4","","","",""
"Tiktok","#BTSColdplay","senyum taehyung bangga banget sama jungkook🥰🥰🥰💜💜💜💜","4","","","",""
"Tiktok","#BTSColdplay","mereka aja bangga apalagi gw yang istri nya😻","4","","","",""
"Tiktok","#BTSColdplay","AKKKKKKKKKKKKKKKK TAEHYUNG MANIS BANGETT OH MY GOSH AKKKK","4","","","",""
"Tiktok","#BTSColdplay","aku bangga sama maknae.. tapi langit seakan penuh bunga melihat senyum taehyung.. sebangga itu sama adeknya🥰🥰","1","","","",""
"Tiktok","#BTSColdplay","spanjang liat video ini gw nangis trharu bangga bgt ama mrka apalagi pas mrka d wwancarai satu"" itu","1","","","",""
"Tiktok","#BTSColdplay","tpi aku ttep sedih sihh part nya jin Kya gk kerasa ada gtu🥺🥺","2","","","",""
"Tiktok","#BTSArmy","kok gue nangis pas jin panggil armyy😓","2","","","",""
"Tiktok","#BTSArmy","aaaaa nangisss anjai smga bisa bertujuh lagi😭😭😭😭","2","","","",""
"Tiktok","#BTSArmy","terharu liat wajah'y uri sunshine 😭 menerima mama platinum, gak bisa ngomong apa2 lagi my, bahagia sekali 🥰🎇","1","","","",""
"Tiktok","#BTSArmy","kannn jd nangis lg ngeliat moment ini😭 bangtan your the best💜😭","2","","","",""
"Tiktok","#BTSArmy","Siapa yg naro bawang disini🥺","2","","","",""
"Tiktok","#BTSArmy","ini udh nonton livenya waktu itu dan aku nangis sekarang liat lagi ttp nangis😭😭😭kangennnn","2","","","",""
"Tiktok","#BTSArmy","Sampai saat ini ga ada yg bisa ngalahin legend nya mereka, the one and only mama platinum they deserve it!!!🥺","1","","","",""
"Tiktok","#BTS","setiap mereka dpt penghargaan ikut merinding ,bahgia bangga juga trharu😭🤧🔗💖","1","","","",""
"Tiktok","#BTS","sebagai ARMY aku bangga banget sama my idolaku BTS🥰🥰🥰🥰🥰🥰🥰","1","","","",""
"Tiktok","#namjoon","kok aku nangis... nyesek banget sumpah😭😭","2","","","",""
"Tiktok","#namjoon","orang² knp sih setega itu sama mereka heran deh aku.","5","","","",""
"Tiktok","#namjoon","Sedih bgt aku liat mukanya jimin🥺🥺😭😭","2","","","",""
"Youtube","#TheChase ","I love the way you love the chase Udah ditahap tercandu-candu 😭❤","4","","","",""
"Youtube","#TheChase ","lagunya didengerin berkali-kali makin bikin candu😭❤","4","","","",""
"Youtube","#TheChase ","Vibesnya kek lagi mau diantar ke surga, adem rasanya","4","","","",""
"Youtube","#TheChase ","sukaa bgttt sama lagu h2h 💗💗","1","","","",""
"Youtube","#TheChase ","Satu bulan telah berlalu, aku tetap akan suport kalian selama lamanya❤fighting girls","4","","","",""
"Youtube","#TheChase ","gatau tiap hari dengerin ini lagu berapa kali wkwk candu bgt jdi penyemangat waktu ngerjain skripsi hehe, makasih h2h","1","","","",""
"Tiktok","#Hearts2Hearts","Menurutku ini style carmen yang paling cantikkk 😭💗","4","","","",""
"Tiktok","#Hearts2Hearts","JANGAN REPLY KOMEN NYA HATTERS GUYS!","5","","","",""
"Tiktok","#Hearts2Hearts","semuanya cantik' but salfok carmen CAKEP BGT???!!!!!!😭😭","4","","","",""
"Tiktok","#Hearts2Hearts","kok malah diladenin sih?? kan bikin hate komen jd naikk!!","5","","","",""
"Tiktok","#Hearts2Hearts","di bilangin ga ush reply komenan haters malah banyak yg reply, kocak","5","","","",""
"Tiktok","#Hearts2Hearts","stop balesin haters, mereka nanti nambah seneng","5","","","",""
"Tiktok","#Hearts2Hearts","GUYS PLS, KALO ADA KOMEN HATE OR SEMACEMNYA GAUSA DITANGGEPIN BIAR KOMENNYA GA NAIK‼️","5","","","",""
"Tiktok","#Hearts2Hearts","SEMUANYA LUCUU BGT, APALGI CARMEN IAN, YE-ON 😭😭😭","4","","","",""
"Tiktok","#Hearts2Hearts","carmenn, bangga banget ada orng indo di sanaa 🥹🩵🩵","1","","","",""
"Tiktok","#kpop","Yeri di hate gr² join rv doang elah😭😭","2","","","",""
"Tiktok","#kpop","kasian bgt semuanya, terutama garam dia tumbang karena fitnahan dari kerupuk protes itu😔😭","2","","","",""
"Tiktok","#kpop","kasiaan bgt sama garam dihate karna haters.... jadi sediihh","2","","","",""
"Tiktok","#kpop","aku pengen ngomong kasar saat ini","5","","","",""
"Youtube","#kpop","Ngurus banget kesukaan orang lain, Lo gak ada kerjaan?","5","","","",""
"Youtube","#kpop","Gue heran aja gitu lo . katanya benci sama fans tapi kok ngehujad ke diri idol.anda sehat ?","5","","","",""
"Youtube","#kpop","tapi kamu sendiri yang duluan Banh, masa manusia Lo bilang plastik???","5","","","",""
"Youtube","#kpop","Pertanyaan cma gni bro yg ngehina lu kan fans nya exo trs knp yg lu hujat fans nya bts  mencoba positive thinking aj y mungkin lu cma tw nya bts doank jjr bro gw bkn kpop  tpi gw gk stuju aj gtu","5","","","",""
"Youtube","#kpop","Gw juga punya dendam sendiri bang. Gara gara gw salah nyebut nama jongkokk. Eh temen sekelas gw malahan hina fisik gw gendut devil gitu kan anjg. Makanya gw dendam banget yang nama nya kepop anjing","5","","","",""
"Youtube","#kpop","Ngaca dulu gih mas, Lo duluan kok yg ngehujat.. Kok elo yang tersakiti","5","","","",""
"Youtube","#kpop","Viewnya banyak tapi subscribe nya sikit😒😒nh dari lo hina orang baik lo cari usaha lo sendiri..masih banyak yang lo boleh buat daripada lo berkata buruk tentang orang lol😒😒","5","","","",""
"Youtube","#kpop","Idiot itu orang yang gak bisa ngehagain orang","5","","","",""
"Youtube","#kpop","Gila kali ya orang ini siapa juga yang mau jual agama , kalau lu ada masal gak usa di lampiaskan ke kpoppers , lu gila masuk rumah sakit gila sana","5","","","",""
"Youtube","#kpop","Aku nggak suka video ini karena banyak idol K-Pop yang ku cintai disini","5","","","",""
"Youtube","#kpop","Yang di benci kok biasku sih jeon Jungkook,haters emang kurang ajar di mata army","5","","","",""
"Youtube","#kpop","Aku benci info ini banyak bias ku di benci terutama jennie aku nnga suka jennie di giniin","5","","","",""
"Youtube","#Jonghyun","Kesihan bat semoga beliaw tenang di alam sana😭😭😭 tpi siapa yg nonton in pas tahun 2021?","2","","","",""
"Youtube","#Jonghyun","Padahal cuma video artis and idol yg dateng ke funeralnya Jonghyun tp bikin air mata ini ngalir deres dan hati sakit bgt 😭 Banyak banget orang yang sayang sm Jonghyun tp kenapa dia milih jalan itu diumur yg masih muda kenapa 😭","2","","","",""
"Youtube","#Jonghyun","Masih sering merindukan jonghyun oppa😢😭 Suaranya masih terngiang terus di telinga... Semoga amalan dan kebaikannya di terima di sisi tuhan.. Amminn","2","","","",""
"Youtube","#Jonghyun","Saya rindu sangat gelak ketawa jonghyun yg dulu...😢😢😭😭","2","","","",""
"Youtube","#Jonghyun","Saya ke sini karena liat berita sulli meninggal jadi inget alm. Jonghyun shinee 😭🎗","2","","","",""
"Youtube","#Jonghyun","Muncul di beranda YouTube lagi, jadi sedih keinget Jonghyun lagi 😭😭😭😭","2","","","",""
"Youtube","#Jonghyun","Aa kangen dia 😭 tp skrg hnya bisa ikhlaskan dia pergi 😭 semoga tenang di Alam sana Jonghyun 😇","2","","","",""
"Youtube","#Jonghyun","Gw rasa sedih banget ama iu. Dia udh kehilangan 2 sahabatnya yakni jonghyun & sulli :( buat iu tetap sabar yah-!! Dan untuk sulli & jonghyun smoga diberi ketenangan diatas sana","2","","","",""
"Youtube","#Jonghyun","Gk kerasa 😭 udah 2021 tpi kaya ngerasa Jonghyun vacum di dunia hiburan bukan meninggoy 😭 semoga dia damai disana dan gk sakit2 lagi 😭 Miss him so much ❤️","2","","","",""
"Youtube","#Jonghyun","Nggak kebayang kalau aku ada di situ, pasti kenceng banget nangisnya........dan nggak mungkin bisa nahan","2","","","",""
"Youtube","#Jonghyun","Mau ditonton berapa kali pun tetap sedih.aku kenal dia saat dia udah di surga 😭😭😭😭😭😭😭😭","2","","","",""
"Youtube","#Jonghyun","Ini kbr paling mendadak & gk akan pernah bisa di percaya 😭","2","","","",""
"Youtube","#Jonghyun","kenapa kau tinggalin kami jonghyun kami sangat sedih tau nggk","2","","","",""
"Youtube","#Jonghyun","Kok terasa sesak banget dada ne melihat beritamu sungguh membuatku 😭😭😭","2","","","",""
"Youtube","#Jonghyun","Hikss.. kangen jonghyun 😭😭 semoga tenang di sana  yah amin","2","","","",""
"Tiktok","#kpopers","gue kpopers tapi takut sm kpopers juga😭","3","","","",""
"Tiktok","#kpopers","RELATE 😭🙏🏼 gw kalo ngetik ampe mikir berkali2 gw baca ulang takut salah kata","3","","","",""
"Tiktok","#kpopers","iya asli takut bngt padahal gk ngatain idol nya eh malah dikatain astagfirullah","3","","","",""
"Tiktok","#kpopers","kadang gua yg suka KPop aja rasanya takut kalau bahas kpop sama kpopers wkwk","3","","","",""
"Tiktok","#kpopers","semua fandom sama aja(khusus fandom gede), kadang sampek takut sama fandom sendiri. apalagi kalok udah mode intel","3","","","",""
"Tiktok","#kpopers","jangankan kita yg sesama fans, idol aja kadang ada yg takut ama fansnya sendiri","3","","","",""
"Tiktok","#kpopers","kita semua tau fandom paling menyeramkan tuh fandom apa😭😭😭","3","","","",""
"Tiktok","#kpopers","aku blink tp aku takut kalo interact sama akgae/ solo stan Blackpink 😭😭🙏","3","","","",""
"Tiktok","#kpopers","Gue juga takut sama fandom sendiri (blink) tapi takutnya sama solo stan 😭🙏🏻","3","","","",""
"Tiktok","#kpopers","bnr bgt takut sm orang yg ngira gue solostan padahal gue suka satu group krna ya emang gue jarang ngepost semua mem nya krna gue blm pengen aja anjr","3","","","",""
"Tiktok","#kpopers","ARMY SIH KAK GUE ARMY TAPI ASLI GUE TAKUT ANJIRRR","3","","","",""
"Tiktok","#kpopers","gue yg mulfan aja takut, fandom gue tuh war satu sama lain dah kek musuh bebuyutan","3","","","",""
"Tiktok","#kpopers","frrrrr njir gue yg tadinya stan wannaone terus ke nct jujur shock bgt kek gak war sehari aje gak afdol😭","3","","","",""
"Tiktok","#kpopers","aduh jujur iya knp ini bener bngt JDINYA ENAKAN NGEFANGIRL SENDIRII diem diem aja di akun gembokan 😭😭😭","3","","","",""
"Tiktok","#kpopers","Aku takut sama temen sendiri dia sefandom sama aku di gak mau aku ngebiasin jaemin padahal ga masalah","3","","","",""
"Tiktok","#kpopers","Beneran tkut bgt klo dah bahas perfandoman ini🥲","3","","","",""
"Tiktok","#kpopers","GW JUGA ANJIRRR, SANGKING BUCINNYA SAMA BIAS SAMPE DI DM FANS LUAR DITANYAIN LU TU SOLO STAN YAH 😭","3","","","",""
"Tiktok","#kpopers","gw takutt fandom gw sendiri makin hari makin gede takut gak dapet tiket pas konser 😅","3","","","",""
"Tiktok","#kpopers","gue kalo ketemu temen beda fandom, tiap udah mulai bertolak belakang gue lgsg yg kaya 'stop there, selera kita emang beda' gamau ribut😭","3","","","",""
"Tiktok","#kpopers","bener, semengerikan itu. mungkin lagi semangat semangatnya memulai [tears] tapi emang, makin ke sini tuh makin ke sana [tears]","3","","","",""
"Tiktok","#kpopers","sumpah tapi bener banget bahkan gue sampe kalo mau komen dipost kpop harus mikir mikir dulu biar aman n gak dihujat huhu :(((","3","","","",""
"Tiktok","#kpopers","aku juga takut banget sumpah, jadi i just enjoy their appearance on the show not join the fandom because too scary for me😭","3","","","",""
"Tiktok","#kpopers","paling takut sm yg fans twt 😭🙏","3","","","",""
"Tiktok","#kpopers","kemaren ketemu sama orang ngedit jeno, terus tiba tiba ""ngapain sih bikin video cowo gue"" hiks aku tuh hiks banget","3","","","",""
"Tiktok","#kpopers","private akun adalah kunci agar aman dalam perkpopan😭😭","3","","","",""
"Tiktok","#kpopers","kaya mau komen aja udh takut salah jadi kalau ada yang komen ikut ikutan aja,setakut ituu","3","","","",""
"Tiktok","#kpopers","bangtan aja takut sama army apa lagi idol lain 😭😭 sampe lemes gitu😭😭","3","","","",""
"Tiktok","#linedistributionkpop","gak suka banget sama pembagiannya kesiann beomgyung 😭","2","","","",""
"Tiktok","#linedistributionkpop","ini loona mah dr awal debut smp disband anjirt😔

","2","","","",""
"Tiktok","#linedistributionkpop","itu masih mendingg bang, nih asal lu tau beomgyu dapet 0 line di happily aver after 🙂💔 padahal memb nya 5...🙂","2","","","",""
"Tiktok","#linedistributionkpop","happily ever after beomgyu buka mulut aja kagak itumah😭😭","2","","","",""
"Tiktok","#NJZ","Maraahh banget ama ni bocil 😭 dmn dunia pokonya harus mau ngerti dia, bknnya sebaliknya","5","","","",""
"Tiktok","#NJZ","Kesell banget sama ni bocil gk tau diri","5","","","",""
"Tiktok","#NJZ","Makinn hari dibuat kesel sama NJZ, junior laga senior","5","","","",""
"Tiktok","#NJZ","tapi di dunia ini bidang apapun itu punya aturan daniell, dan aturan juga dibuat dengan alasan :(","5","","","",""
"Tiktok","#NJZ","Kacang lupa kulitt banget gak tau diri 😡","5","","","",""
"Tiktok","#NJZ","banyak mau bgt, padahal traine lain harus kerja keras tanpa privilege","5","","","",""
"Tiktok","#NJZ","jariku diam tapi mulutku keluar kata kasarrrr","5","","","",""
"Tiktok","#NJZ","dek adek, kamu debut emang udah berapa lama sih? pencapaian kamu udah sehebat apa sih ? 😞","5","","","",""
"Tiktok","#NJZ","Buat agensi sndri daniele klau gk mau ada aturan gk mau ada tekanan 🙏","5","","","",""
"Tiktok","#NJZ","yang bilang jadi trainee itu mudah siapa sih? perasaan semua idol dari semua perusahan bilang susah","5","","","",""
"Tiktok","#NJZ","ga pernah semuak ini gua bjirr DEMI DAH","5","","","",""
"Tiktok","#NJZ","kalo gitu bangun aja perusahaan sendiri, promosi sendiri, produserin lagu sendiri,semua harus mandiri","5","","","",""
"Tiktok","#NJZ","star syndrom pdhl tanpa hybe tanpa ngomong adik bts new jeans IS NOTHING","5","","","",""
"Tiktok","#NJZ","sebelum masuk ke suatu agensi pasti dijelaskan aturan2 yg disana, kalau dirasa itu gak cocok ngapain masuk. dimana2 pasti ada ATURAN","5","","","",""
"Tiktok","#NJZ","ITUMAH TATA KRAMA AJA GAKSI","5","","","",""
"Tiktok","#NJZ","dikira dia doang yg ngalamin dan dikira ga ada alasan knp ngebatasin🗿","5","","","",""
"Tiktok","#NJZ","ya Allah izin ke toilet ya emg seharusnya ada izin lah, lu di culik org, di sangka pergi kemana gimana anjir","5","","","",""
"Tiktok","#NJZ","mereka tau ga sih kalau dalam dunia KERJA ada yang namanya KONSEKUENSINYA","5","","","",""
"Tiktok","#NJZ","dia knp anjr etdah g kelar""","5","","","",""
"Tiktok","#NJZ","ga pernah semuak ini sama idol²😳😳","5","","","",""
"Tiktok","#NJZ","Enggk pernah semuak ini","5","","","",""
"Tiktok","#NJZ","dia ngomong kaya udah jadi senior yang bertahun tahun debut bgt, atau g kaya org yang udah ninggalin karier kpop aja","5","","","",""
"Tiktok","#NJZ","emosi banget liat kelakuan mereka, kayak ga punya empati 😡","5","","","",""
"Tiktok","#NJZ","Ini tuh bukan idol lagi, udah kayak reality show drama 🤦‍♀️ sumpah capek liatnya!","5","","","",""
"Tiktok","#NJZ","sumpah ga pernah semuak ini","5","","","",""
"Tiktok","#NJZ","GAK PERNAH SEMUAK INI SAMA IDOL","5","","","",""
"Tiktok","#NJZ","fans udah cape bela, tapi mereka tetep aja bikin masalah 🤦‍♀️","5","","","",""
"Tiktok","#NJZ","lu kan emg ikut org anjir kcuali lu bkin agensi sndiri ya tserah mau kreativitas gmn pun","5","","","",""
"Tiktok","#NJZ","sumpah njz makin lama makin ga jelas deh 😤 tiap hari ada aja drama baru","5","","","",""
"Youtube","#TheChase ","Jujur ya, bangga banget bisa jadi bagian dari fandom Hearts2Hearts.","1","","","",""
"Youtube","#TheChase ","gak nyangka udah 100 hari bareng h2h♡♡♡","1","","","",""
"Youtube","#TheChase ","lama kelamaan di dengerin kok makin nyantol yaa? sehari tanpa the chase kayanya bisa meriang deh wakaka, fighting h2h my little baby","1","","","",""
"Youtube","#TheChase ","carmen suaranya bgus bgt bjiiirrr cocok sama ciri khas suara² idol SM.","1","","","",""
"Youtube","#TheChase ","Sumpahh ga expect vocal carmen sebagus seenak itu woee 🤩 ga heran dia bisa debut di agensi legend sekelas SM ","1","","","",""
"Youtube","#TheChase ","gua masih gak nyangka suara carmen sebagus itu dia juga ngambil hight note main vocal gua yakin dia","1","","","",""
"Youtube","#TheChase ","Pokoknya Carmen GK malu maluin❤❤","1","","","",""
"Youtube","#TheChase ","Sumpah suara carmen SM bangetttt 😁😁😁😁 pewarna grup suaranya.","1","","","",""
"Youtube","#TheChase ","cakep"" bgtt gua lgsung msuk fandom 😭 s2u hatchuuu❤","1","","","",""
"Youtube","#TheChase ","ini bukan overproud ya tapi emang vocal carmen bagus banget disini patut di banggakan","1","","","",""
"Youtube","#TheChase ","Tapi emg bagian highnote diambil carmen semua, jgn jgn carmen main vocal. Gilaaa bangga bgt padahal bukan gw yg debut, carmen fighting","1","","","",""
"Youtube","#TheChase ","Masih ga nyangkaaa loh ini ada orang Indonesia masuk agensi gede? Sm? Adiknya aespaa sumpah seneng bngttt","1","","","",""
"Youtube","#TheChase ","carmen suaranyaaaa bagus bangeeet!","1","","","",""
